Va !	Ir !
Donne-nous tout ce que tu as.	Dê-nos tudo que você tem.
Vous êtes raisonnables.	Você é razoável.
Les policiers ont soigneusement fouillé les lieux.	A polícia procurou cuidadosamente os lugares.
Il essayait de contenir sa colère.	Ele estava tentando conter sua raiva.
Je veux dire un mot à Tom.	Quero dizer uma palavra para Tom.
Décris-toi.	Descreva-se.
Regardez de près !	Assista de perto!
Tom est votre oncle.	Tom é seu tio.
Son opinion était la même que la mienne.	Sua opinião era a mesma que minha.
Vous avez tous fait du bon travail.	Você fez todo o bom trabalho.
Il étudie la littérature contemporaine.	Ele estuda literatura contemporânea.
Je vis à Boston depuis 1995.	Eu moro em Boston desde 1995.
Tom porte un manteau trop grand pour lui.	Tom usa um casaco muito grande para ele.
J'ai trouvé le tableau que tu cherchais.	Eu encontrei a foto que você estava procurando.
J'ai été très choquée.	Eu estava muito chocado.
Je ne peux pas continuer à faire ça.	Eu não posso continuar a fazer isso.
J'ai la gorge qui me gratte depuis ce matin. Je me demande si j'ai attrapé un coup de froid.	Eu tenho uma garganta que me arrastou desde esta manhã. Eu me pergunto se eu peguei um tiro frio.
J'ai quelque chose à te dire.	Eu tenho algo para te dizer.
Par ici !	Por aqui !
Je suis fatigué d'avoir beaucoup marché.	Estou cansado de ter andado.
J'apprécierais une tasse de café.	Eu apreciaria uma xícara de café.
Remuez vos orteils.	Agite os dedos dos pés.
Il est temps pour moi d'y aller, les gosses !	É hora de eu ir, crianças!
Je vous prie de m'excuser pour le délai dans l'envoi de l'ordre du jour.	Peço desculpas pelo prazo para enviar a agenda.
Ne voulez-vous pas prêter assistance ?	Você não quer ajudar?
Il doit terminer aujourd'hui ses devoirs.	Ele deve terminar sua lição de casa hoje.
Arrête de hurler !	Pare de gritar!
La malaria est transmise par les moustiques.	A malária é transmitida por mosquitos.
Laquelle d'entre nous aimes-tu le plus ?	Qual de nós você mais gosta?
Je me suis pliée de rire.	Eu me inclinei de rir.
Hier soir, il travaillait au bureau.	Ontem à noite, ele trabalhou no escritório.
Où aimeriez-vous vous rendre ?	Onde você gostaria de ir?
Comment as-tu l'intention de réparer ça ?	Como você pretende reparar isso?
C'est vraiment horrible.	É realmente horrível.
« C'était un tel endroit amical. » « M'en parle pas ! »	"""Foi um lugar tão amigável. ""Não fale comigo! »"
Vous avez raison à cent pour cent.	Você está certo em cem por cento.
J'espère chanter mieux la prochaine fois.	Espero cantar melhor da próxima vez.
Ils n'avaient aucune idée à quoi s'attendre.	Eles não tinham ideia do que esperar.
Tom refusa de nous dire quoi que ce soit.	Tom se recusou a nos dizer qualquer coisa.
Mon travail est fini.	Meu trabalho acabou.
Je ne crois pas en Dieu.	Eu não acredito em Deus.
Je me demande comment Tom a appris le français.	Eu me pergunto como Tom aprendeu francês.
Douze divisé par trois donne quatre.	Doze divididos por três dá quatro.
Est-ce que tu as laissé un message ?	Você deixou uma mensagem?
Elle est bien connue comme chanteuse.	Ela é bem conhecida como cantora.
Nous pouvons le mettre sur votre ardoise.	Nós podemos colocá-lo na sua ardósia.
Je ne vois pas où est le problème.	Eu não vejo onde é o problema.
J'attendais votre appel.	Eu esperei pela sua ligação.
Tom a l'air intrigué.	Tom parece intrigado.
Prends-tu de la benzylpipérazine ?	Você toma benzilpiperazina?
Elle a vécu jusqu'à nonante ans.	Ela morava nannis anos de idade.
Je ne peux pas prendre ce risque.	Eu não consigo assumir esse risco.
J'ai été blessé.	Eu estava ferido.
La seule langue que je sache vraiment bien parler, c'est le français.	A única língua que eu realmente sei falar bem é francês.
J'ai grandi en Australie.	Eu cresci na Austrália.
Tom a rasé sa moustache.	Tom raspou seu bigode.
Que voulez-vous pour le petit-déjeuner ?	O que você quer para o café da manhã?
Le bureau de poste est à droite.	Os correios estão certos.
Tom a parlé de son ami imaginaire à Marie.	Tom falou sobre seu amigo imaginário para Maria.
Je suis vraiment occupé.	Estou realmente ocupado.
Je pensais que nous allions chez toi.	Eu pensei que estávamos indo para casa.
Est-ce mieux que l'original ?	É melhor que o original?
J'aimerais oublier que tout ça est survenu.	Eu gostaria de esquecer que tudo isso aconteceu.
Quand est-ce que ça va finir ?	Quando terminará?
Il serait rompu, si vous l'aviez laissé échapper.	Seria quebrado, se você tivesse deixado escapar.
Pourquoi votre chien ne porte-t-il pas de muselière ?	Por que o seu cão usa focinho?
La glace était assez épaisse pour marcher dessus.	O gelo era muito grosso para andar nele.
Je ne peux pas les laisser me faire ceci.	Eu não posso deixá-los fazer isso.
Je voulais te rencontrer.	Eu queria te conhecer.
C'est le vélo que je veux.	É a bicicleta que eu quero.
Je vous adore.	Eu amo Você.
Puis-je emprunter votre crayon ?	Posso pegar emprestado seu lápis?
Tom aime l'idée, aussi.	Tom ama a ideia também.
Vous ne devriez pas la voir maintenant.	Você não deve ver agora.
Donne un poisson à un homme, il mangera un jour. Apprends-lui à pêcher, il mangera toute sa vie.	Dá um peixe para um homem, ele vai comer um dia. Aprenda-o a pescar, ele vai comer toda a sua vida.
Mary s'est mariée avec un homme qui a deux fois son âge.	Maria se casou com um homem que tem duas vezes a sua idade.
Que préfères-tu cuisiner ?	O que você prefere cozinhar?
Je suis heureux que vous soyez là.	Eu estou feliz por voce estar aqui.
J'aimerais faire un petit somme.	Eu gostaria de fazer uma pequena quantia.
Ça fait des années que je ne l'ai pas vu.	Já faz anos que eu não vi.
Elles se sont amusées.	Eles se divertiram.
Je lui ai montré ma chambre.	Eu mostrei a ele meu quarto.
Il risqua sa vie pour la sauver.	Ele arriscou sua vida para salvá-la.
Payez la caissière en sortant.	Pagar o caixa saindo.
Vous ne ressemblez pas à un médecin.	Você não se parece com um médico.
Je n'ai pas besoin de ton argent.	Eu não preciso do seu dinheiro.
Lire des livres est très reposant.	Ler livros é muito relaxante.
Tous les joueurs ont fait de leur mieux.	Todos os jogadores fizeram o melhor deles.
Qu'est-ce que c'est que ça là-bas ?	O que é aquilo ali?
Je te mettrai au courant plus tard.	Eu vou te dar conhecimento mais tarde.
N'hésitez pas à demander si vous désirez quelque chose.	Não hesite em perguntar se você quer alguma coisa.
Tom n'a pas cru Mary.	Tom não acreditou Mary.
Personne de sa classe n'est plus rapide que lui.	Ninguém em sua aula é mais rápido que ele.
Nous avons besoin d'actes, pas de mots.	Precisamos de ações, sem palavras.
Ils sont très gentils.	Eles são muito gentis.
Je suis sans voix !	Eu sou sem palavras!
Cela me prendra 20 minutes pour aller jusqu'à la gare en taxi.	Isso levará 20 minutos para ir para a estação de trem de táxi.
Elle s'excite pour rien du tout.	Ela fica animada por nada.
J'ai fait couper mes cheveux jusqu'aux épaules.	Eu fiz meu cabelo cortado para os ombros.
J'ai compris.	Entendido.
J'ai été élu.	Eu fui eleito.
Que faites-vous ?	O que você faz ?
Tom n'est pas mon fils.	Tom não é meu filho.
Nous devons faire un pas à la fois.	Devemos dar um passo de cada vez.
Puis-je t'aider ?	Posso ajudar ?
J'ai besoin d'une opération.	Eu preciso de uma operação.
Quelle est l'orthographe de ton nom de famille ?	Qual é a ortografia do seu sobrenome?
Les mères devraient empêcher leurs enfants de jouer dans les rues.	As mães devem impedir que seus filhos tocam nas ruas.
Était-ce toi qui as laissé la porte ouverte la nuit dernière ?	Foi você quem deixou a porta aberta ontem à noite?
Quel était le premier instrument auquel vous avez appris à jouer ?	Qual foi o primeiro instrumento que você aprendeu a tocar?
Le français n'est pas facile pour nous.	O francês não é fácil para nós.
Combien de dents possède un cheval ?	Quantos dentes tem um cavalo?
Le chat m'a effrayée.	O gato me assustou.
Penses-tu que je sois trop vieux pour retourner à l'école ?	Você acha que eu sou velho demais para voltar para a escola?
Ce n'est pas ton couteau.	Não é a sua faca.
Un chien était en train de courir.	Um cachorro estava correndo.
La rumeur est vraie jusqu'à un certain point.	O boato é verdadeiro até certo ponto.
Pendant qu'ils étaient partis en vacances, leurs voisins se sont occupés du chien.	Enquanto eles tinham ido de férias, seus vizinhos cuidaram do cachorro.
Préférerais-tu manger une souris ou une tarentule ?	Você prefere comer um mouse ou tarântula?
Je suppose que n'importe quoi est possible.	Eu acho que tudo é possível.
Elle disparut dans l'obscurité.	Ela desapareceu no escuro.
Je l'ai fait pour toi.	Eu fiz isso por você.
Il y a quelque chose que je ne comprends toujours pas.	Há algo que eu ainda não entendo.
J'ai le sentiment que personne ici ne nous dit la vérité.	Eu sinto que ninguém aqui nos diz a verdade.
Maintenant, qui a une question ?	Agora, quem tem uma pergunta?
Vous êtes grands.	Você é ótimo.
Ferme-la juste et écoute !	Farm - a direita e ouvir!
Tom a-t-il dit à Mary qu'il était pauvre ?	Tom contar a Maria que ele era pobre?
Il étendit son bras pour attraper un magazine.	Ele esticou o braço para pegar uma revista.
Les erreurs ne se compensent pas.	Erros não compensam.
Vous n'arrivez pas à faire face à la vérité.	Você não pode lidar com a verdade.
Marie porte souvent des talons hauts.	Marie muitas vezes usa saltos altos.
Tous les deux sont célibataires.	Ambos são solteiros.
Je n'ai jamais entendu parler d'eux.	Eu nunca ouvi falar deles.
Vous êtes venue juste au bon moment.	Você veio na hora certa.
Vous savez ce qu'elles disent.	Você sabe o que dizem.
Je n'ai rien sur quoi écrire.	Eu não tenho nada para escrever.
J'ai lu le livre jusqu'à la fin.	Eu li o livro até o final.
Je ne suis pas médecin, mais professeur.	Eu não sou médico, mas professor.
Est-ce que tu veux vraiment faire ça aujourd'hui ?	Você realmente quer fazer isso hoje?
Il n'y a pas de meilleure façon pour commencer la journée.	Não há melhor maneira de começar o dia.
J'ai le vertige à chaque fois que je me lève.	Eu tonto toda vez que me levanto.
Je sais que tu me tenais pour un ami proche.	Eu sei que você me segurou por um amigo próximo.
Ça semblait aisé.	Parecia fácil.
Quoi de nouveau ?	E aí ?
Vous êtes invitée.	Você está convidado.
Vous étiez en danger.	Você estava em perigo.
Laisse ça.	Deixe isso.
Tu rentres quand ?	Quando você vai voltar ?
Il m'envoya une carte d'anniversaire.	Ele me enviou um cartão de aniversário.
Tu n’essaies même pas de m’aider.	Você nem sequer tenta me ajudar.
C'est votre destinée.	É o seu destino.
Tu ne pourras peut-être plus jamais remarcher.	Você pode nunca ser capaz de perceber novamente.
Attends une minute !	Espere um minuto !
On ne réussira pas à arriver à l'heure.	Nós não conseguiremos chegar a tempo.
La plupart de mes compagnons de voyage étaient sympathiques.	A maioria dos meus companheiros viajantes era amigável.
Je l'ai convaincu d'abandonner l'idée.	Eu o convenci a desistir da ideia.
Je ne prête mes livres à aucun des étudiants.	Eu não empresto meus livros para qualquer um dos alunos.
Laissons tomber nos différences et concentrons-nous sur ce qui nous rapproche.	Deixe nossas diferenças cair e se concentrar no que nos traz mais perto.
Êtes-vous allés quelque part pendant les vacances d'été ?	Você foi a algum lugar durante as férias de verão?
Tu es trop stupide pour vivre.	Você é muito estúpido para viver.
Peux-tu grimper sur cet arbre?	Você pode subir nesta árvore?
Je sais que beaucoup de gens ne sont pas d'accord avec moi.	Eu sei que muitas pessoas não concordam comigo.
Je n'arrive pas à croire que ça se produit.	Eu não posso acreditar que isso acontece.
Elle est morte d'un cancer de l'estomac.	Ela morreu de câncer de estômago.
Suis-je le seul qui n'aie pas compris ce qui était en train de se produire ?	Eu sou o único que não entende o que estava acontecendo?
Tom affirme qu'il n'a jamais tué personne.	Tom diz que nunca matou ninguém.
Bonjour.	Olá.
Je ne l'invente pas.	Eu não inventei.
Qui vend ça ?	Quem vende isso?
Le flingue de Tom a disparu.	A arma de Tom desapareceu.
Quel âge a-t-il ?	Quantos anos tem ele ?
Elle fera de son mieux pour être là à l'heure.	Ela fará o seu melhor para estar lá a tempo.
Elle lui a tendu sa veste puis a ouvert la porte et lui a demandé de partir.	Ela disse a ela sua jaqueta e abriu a porta e pediu-lhe para sair.
Avez-vous vu mes clés de voitures ?	Você já viu minhas chaves do carro?
Aucun de ses étudiants n'a réussi l'examen.	Nenhum de seus alunos passou pelo exame.
Je suis trop las pour conduire. Pourrais-tu le faire ?	Estou cansado demais para dirigir. Você poderia fazer isso?
Les avions à réaction volent beaucoup plus vite que les avions à hélice.	Os planos de reação voam muito mais rápido do que as aeronaves helicamente.
À quelle heure prenez-vous habituellement votre petit déjeuner ?	A que horas você costuma levar seu café da manhã?
Je travaille depuis l'âge de treize ans.	Eu tenho trabalhado desde a idade de treze anos.
Ça va causer des problèmes.	Isso causará problemas.
Je veux que tu saches que j'ai fait ça.	Eu quero que você saiba que eu fiz isso.
C'est à y perdre son latin.	É perder seu latim.
Il va me rembourser la semaine prochaine.	Ele irá reembolsar-me na próxima semana.
Nous avons besoin de ce rapport pour demain.	Precisamos deste relatório para amanhã.
Ouvrez-la.	Abra.
Je savais que tu dirais ça.	Eu sabia que você diria isso.
Tu nous as beaucoup enseigné.	Você nos ensinou muito.
C'est un gros problème.	É um grande problema.
Arriver chez lui ne prend pas beaucoup de temps.	Chegar em casa não leva muito tempo.
Surveillerez-vous mes bagages ?	Você vai assistir minha bagagem?
Je n'en suis pas l'auteur.	Eu não sou o autor.
Je te prie de garder tes remarques cyniques pour toi-même.	Eu imploro para você manter suas observações de cínicos para si mesmo.
C'est ce que mes amis n'arrêtent pas de me dire.	Isso é o que meus amigos não param de me dizer.
Voulez-vous qu'il le sache ?	Você quer que ele o conheça?
Êtes-vous sûrs de n'avoir rien oublié ?	Você tem certeza de ter esquecido alguma coisa?
Je n'aime pas vraiment les chevaux.	Eu realmente não gosto de cavalos.
Il n'y a rien là.	Não há nada ali.
On commence avec les choses faciles.	Começamos com coisas fáceis.
Je pense qu'il est temps pour moi de prendre une nouvelle adresse électronique.	Eu acho que é hora de eu pegar um novo endereço de e-mail.
Tom, je suis heureuse pour vous.	Tom, estou feliz por você.
J'ai une amie dont le père est avocat.	Eu tenho um amigo cujo pai é um advogado.
Ils parlent rarement, voire jamais, en français.	Eles raramente falam, ou nunca, em francês.
Tom a demandé à Mary où elle avait garé la voiture.	Tom perguntou Maria onde ela estacionou o carro.
Rappelez-moi.	Me ligue de volta.
Elle lui fait faire ses devoirs avant le dîner.	Ela faz com que ele faça o dever de casa antes do jantar.
Je ne sais même pas l'âge de Tom.	Eu nem sei a idade de Tom.
Je me suis imaginée que je serais en sécurité, ici.	Eu imaginei que ficaria seguro aqui.
Nous fûmes à court d'essence.	Nós estávamos ficando sem gasolina.
Ça devenait de plus en plus fort.	Tornou-se mais forte.
Tu n'es pas la première.	Você não é o primeiro.
Cela causera des ennuis.	Isso causará problemas.
Comment puis-je apprendre le français ?	Como posso aprender francês?
Avez-vous trouvé vos clefs ?	Você encontrou suas chaves?
Imagine si tu commençais à hoqueter et que tu ne pouvais pas t'arrêter.	Imagine se você estivesse começando a empurrar e você não poderia te impedir.
Vous vous inquiétez de tout.	Você se preocupa com tudo.
Tu n'es pas venu à l'école hier.	Você não veio para a escola ontem.
Quel grand garçon !	Que garoto grande!
Je veux un véhicule qui fonctionne à l'énergie solaire.	Eu quero um veículo que trabalhe com energia solar.
Elle semble être impliquée dans cette affaire de meurtre.	Ela parece estar envolvida nesse caso de assassinato.
Elle cultivait des roses.	Ela cultivou rosas.
Je jetai un œil dans la brochure.	Eu joguei um olho na brochura.
Que faites-vous habituellement le jour de Noël ?	O que você costuma fazer no dia de Natal?
Un jour, j'aimerais visiter la France.	Um dia, gostaria de visitar a França.
Il a refusé de le faire.	Ele se recusou a fazê-lo.
Ne me raccroche pas au nez !	Não pega para mim!
Tu ne répondis pas à ma question.	Você não respondeu minha pergunta.
Avez-vous perdu du poids ?	Você perdeu peso?
Tom n'a même pas essayé de se lever.	Tom nem sequer tentou se levantar.
Il ne veut pas sortir du lit.	Ele não quer sair da cama.
Je m'en fais désormais une idée.	Agora tenho uma ideia.
Elles ont toutes les deux faim.	Ambos desligam.
Où as-tu acheté ces cerises ?	Onde você comprou essas cerejas?
Je ne trouve pas les mots.	Eu não consigo encontrar as palavras.
Tom aime l'art.	Tom ama arte.
Il se demanda pourquoi sa femme l'avait quitté.	Ele se perguntou por que sua esposa o deixou.
Un Japonais ne ferait pas une telle chose.	Um japonês não faria tal coisa.
Qu'est-il advenu de ton chien ?	O que aconteceu com o seu cachorro?
Tom a dit qu'il était d'accord avec toi.	Tom disse que concordou com você.
La vie continue.	A vida continua.
Il refusa notre proposition d'organiser une conférence de presse.	Ele recusou nossa proposta para organizar uma conferência de imprensa.
Je réfléchissais à rejoindre l'armée.	Eu pensei em participar do exército.
Ne vous souvenez-vous pas de mon nom ?	Você não se lembra do meu nome?
Tom avait l'air stressé.	Tom parecia estressado.
Je pensais qu'il était Américain mais il s'est avéré qu'il était Anglais.	Eu pensei que ele era americano, mas ele descobriu que ele era inglês.
Tom a-t-il beaucoup d'amis ?	Tom tem muitos amigos?
Peux-tu parler un peu plus fort, s'il te plaît ?	Você pode falar um pouco mais alto, por favor?
Il était étendu sur le lit.	Estava deitado na cama.
Tom est en train de perdre.	Tom está perdendo.
Lorsqu'il atteignit la gare, le train était déjà parti.	Quando chegou à estação, o trem já foi embora.
Nous ne sommes pas ouverts.	Nós não estamos abertos.
Je suis désolé que vous ayez été entraîné là-dedans.	Lamento que você tenha sido conduzido lá.
Je suis mariée et j'ai deux enfants.	Eu sou casado e tenho dois filhos.
Je ne suis pas toujours à la maison le dimanche.	Eu nem sempre estou em casa no domingo.
Elle a mis au lit son bébé.	Ela colocou seu bebê na cama.
Vous êtes chanceux d'avoir un si bon travail.	Você tem sorte de ter um trabalho tão bom.
Il participa à la réunion en qualité de représentant de notre société.	Participou da reunião como representante da nossa empresa.
Je mourrai peut-être demain.	Eu posso morrer amanhã.
Vous connaissons-nous ?	Você sabe?
Il me faut la clé pour décoder ce message.	Eu preciso da chave para decodificar esta mensagem.
J'y suis arrivé en avance.	Eu cheguei lá com antecedência.
Y a-t-il quelque chose qui aggrave ta douleur ?	Há algo que agrava sua dor?
Nous avons trois options.	Nós temos três opções.
Mes parents étaient furieux.	Meus pais ficaram furiosos.
Je l'ai également reçue.	Eu também recebi.
Il continua à chanter.	Ele continuou a cantar.
Pourquoi voulez-vous toujours faire les choses de façon compliquée ?	Por que você sempre quer fazer coisas complicadas?
Merci beaucoup !	Muito obrigado !
Il est détective.	Ele é detetive.
L'opposition au texte de loi était forte.	A oposição à legislação era forte.
Elle m'a présenté à son père.	Ela me apresentou ao pai dela.
Je ne pense pas que j'ai envie de répondre à plus de tes questions pour l'instant.	Eu não acho que quero responder mais do que suas perguntas por enquanto.
Reste tranquille !	Fique calmo !
Sa mort était en partie ma faute.	Sua morte era parcialmente minha culpa.
Tu as fait quelque chose d'incroyablement stupide.	Você fez algo incrivelmente estúpido.
J'ai soigneusement noté toutes les choses que le professeur avait dites.	Eu observei cuidadosamente todas as coisas que a professora havia dito.
Connaissez-vous un restaurant où l'on mange bien ?	Você conhece um restaurante onde comemos bem?
Il y en avait partout.	Estava em toda parte.
Fais rouler le baril ici.	Role o barril aqui.
Tom dit qu'il rêve de Marie toutes les nuits.	Tom diz que ele sonha com Maria todas as noites.
Je pense que tu ferais mieux de partir.	Eu acho que é melhor você sair.
Je sais que tu le vois, mais le regardes-tu vraiment ?	Eu sei que você vê-lo, mas você realmente olha para isso?
La foule s'agrandit de plus en plus.	A multidão cresce mais e mais.
Tom était en train de crier sur Marie.	Tom estava gritando de Maria.
C'est facile à retenir.	É fácil lembrar.
Je ne changerai jamais.	Eu nunca irei mudar.
Qui vous a dit que vous deviez faire ça ?	Quem te disse que você teve que fazer isso?
Une abeille vola par la fenêtre.	Uma abelha voou pela janela.
Les gens deviennent plus cyniques avec l'âge.	As pessoas se tornam mais cínicas com a idade.
S'il te plaît laisse-moi essayer le jeu.	Por favor, deixe-me tentar o jogo.
Que voulez-vous tous pour Noël ?	O que todos vocês querem para o Natal?
J'ai pris une contredanse.	Eu tomei um contradano.
Je ne pense pas que ça aide.	Eu não acho que ajuda.
Sois fière de toi.	Tenha orgulho de você.
Je sais que Tom est un abruti.	Eu sei que Tom é um idiota.
Qu'est-ce qu'un Écossais porte sous son kilt ?	O que é um urso escocês sob seu kilt?
Lorsque je porte des lentilles de contact, cela provoque une sensation de sécheresse et de rougeur dans mes yeux.	Quando eu uso lentes de contato, isso causa uma sensação de secura e vermelhidão nos meus olhos.
Le bois sec brûle vite.	A madeira seca queima rapidamente.
Les Jeux Olympiques ont lieu tous les quatre ans.	Os Jogos Olímpicos são realizados a cada quatro anos.
Qu'est ce qu'il y a dans ce sac ?	O que é nesta bolsa?
Je suis contente que quelqu'un m'en ait informé.	Estou feliz que alguém me informou.
Je n'ai jamais vraiment étudié le français.	Eu nunca estudei francês.
Est-ce que quelqu'un pourrait nous donner un coup de main ?	Alguém poderia nos dar uma mão?
Tom n'a plus à venir ici.	Tom não vem mais aqui.
Je ne sais pas ce que tu veux faire.	Eu não sei o que você quer fazer.
Tous les invités sont rentrés chez eux.	Todos os hóspedes voltaram para casa.
Tom a oublié de nous dire de ne pas boire l'eau du robinet.	Tom esqueceu de nos dizer para não beber água da torneira.
La température est encore aujourd'hui en dessous de zéro.	A temperatura ainda está hoje abaixo de zero.
Vous m'avez déjà raconté cette blague.	Você já me disse essa piada.
Suis-je le seul à y percevoir l'humour ?	Eu sou o único a perceber o humor?
L'agent de police me signifia de m'arrêter.	O policial significava que eu parasse.
Nous avons partagé les profits de manière égale.	Nós compartilhamos os lucros igualmente.
Nous ne sommes pas si confiants.	Nós não estamos tão confiantes.
C'est le meilleur bateau sur lequel je suis jamais monté.	Este é o melhor barco que já montei.
Tom a lu la lettre.	Tom leu a carta.
Je me suis cassé la jambe en skiant.	Eu quebrei minha perna esqui.
Je suis vraiment occupé.	Estou realmente ocupado.
La vie devient dure, ces temps-ci.	A vida se torna difícil, nos dias de hoje.
Je suis désolé si ma présence vous embarrasse.	Me desculpe se minha presença envergonhar você.
Avez-vous déjà acheté vos cadeaux de Noël ?	Você já comprou seus presentes de Natal?
Je suis venu ici pour apprendre.	Eu vim aqui para aprender.
Tu rougis comme une écolière.	Você corou como uma estudante.
Rien ne semble coller.	Nada parece ficar.
Où aimeriez-vous vivre ?	Onde você gostaria de viver?
Tout cela ne fut qu'un gros malentendu.	Tudo isso era apenas um grande mal-entendido.
C'est injuste.	Isso é injusto.
Je veux qu'on se souvienne de mon nom.	Eu quero lembrar meu nome.
Puis-je m'asseoir auprès de vous ?	Posso me sentar com você?
Je suggère fortement que vous étudiiez davantage.	Eu sugiro fortemente que você estudava mais.
Je ne veux tout simplement pas être à nouveau déçu.	Eu só não quero ficar desapontado novamente.
N'as-tu pas faim, Tom ?	Você não está com fome, Tom?
Nous avons mûri.	Nós amadurecemos.
Le processus est en cours.	O processo está em andamento.
Mange tout.	Coma tudo.
Retourne au lit !	Volte para a cama!
Passe un joyeux Noël !	Passar um feliz natal!
Comme cela est souvent le cas avec elle, elle est arrivée en retard à la réunion de cette après-midi.	Como este é muitas vezes o caso, chegou atrasado na reunião desta tarde.
Je sais que vous êtes intelligents.	Eu sei que você é inteligente.
Combien les enfants sont-ils importants pour toi ?	Quão importantes crianças são crianças para você?
Tu m'as réjouie.	Você me recebe.
J'ai eu l'impression que tu ne croyais pas Tom non plus.	Eu tive a impressão de que você também não pertencia a Tom.
Avez-vous plaisir à vivre ainsi ?	Você gosta de viver bem?
Je pensais ne jamais entendre ça.	Eu pensei que nunca ouvi isso.
C'est votre livre.	É o seu livro.
Je pensais connaître tous vos secrets.	Eu pensei que conhecia todos os seus segredos.
L'opération a-t-elle été réalisée en ambulatoire ?	A operação foi realizada em ambulatorial?
Tom a un visa d'étudiant.	Tom tem um visto de estudante.
Je te surveillerai.	Eu vou te ver.
Oh, c'est dommage.	Muito ruim.
Puis-je essayer ceci ?	Posso tentar isso?
Vous n'êtes pas fiable.	Você não é confiável.
Je veux que vous vous y mettiez immédiatement.	Eu quero que você coloque imediatamente.
Avez-vous lu quelque chose d'intéressant dernièrement ?	Você leu algo interessante ultimamente?
Et les voilà reparties.	E aqui eles vão.
Personne ne le dira aussi brutalement mais c'en est l'essentiel.	Ninguém vai dizer tão brutalmente, mas é o essencial.
C'est une dispute intéressante.	É uma disputa interessante.
Tu aurais dû être plus prudent.	Você deveria ter sido mais cuidadoso.
Chacun de nous a reçu trois cents dollars.	Cada um de nós recebeu trezentos dólares.
Il ne sait pas ce que c'est d'être pauvre.	Ele não sabe o que é ser pobre.
Je n'ai jamais rêvé de te voir ici.	Eu nunca sonhei em vê-lo aqui.
Il devra subir une opération la semaine prochaine.	Ele terá que passar por uma operação na próxima semana.
Ne me traitez pas comme une idiote !	Não me trate como um idiota!
Continue d'écouter.	Continua a ouvir.
Tom refuse de payer ses factures.	Tom se recusa a pagar suas contas.
Elles vont dans cette direction.	Eles vão nessa direção.
L'Homme est voué à mourir.	O homem está condenado a morrer.
On n'a rien sans peine.	Nós não temos nada sem dificuldade.
Je n'arrive pas à me souvenir.	Não me lembro.
Tom a été reconnu coupable.	Tom foi condenado.
Les provisions de l'expédition s'épuisèrent bientôt.	As disposições da expedição se formam em breve.
Tom a rasé sa moustache.	Tom raspou seu bigode.
Je vais t'enseigner des rudiments de karaté.	Eu vou te ensinar rudimentos de karatê.
Il sera aisé de trouver quelqu'un pour louer cette maison.	Será fácil encontrar alguém para alugar esta casa.
Il fait très sombre ici.	Está muito escuro aqui.
Faisons un compromis.	Vamos fazer um compromisso.
Tu ne sais pas comment le faire, n'est-ce pas ?	Você não sabe como fazê-lo, não é?
Tom sait qu'il peut gagner.	Tom sabe que ele pode ganhar.
C'est tout ce qui me reste.	Isso é tudo o que resta para mim.
J'ai dormi tout le long du film.	Eu dormi ao longo do filme.
Vous devez apprendre à vous protéger.	Você deve aprender a se proteger.
Elle a été témoin de son assassinat.	Ela testemunhou seu assassinato.
Elles partagèrent l'argent.	Eles compartilharam o dinheiro.
Puis-je m'entretenir avec vous une minute ?	Posso falar com você por um minuto?
Je ne lis pas de livres.	Eu não leio livros.
Ça a un goût de moisi.	Tem um gosto musius.
Vous êtes très riche.	Você é muito rico.
Qui l'a développée ?	Quem desenvolveu isso?
J'ai été reçu.	Eu fui recebido.
J'ai une question à te poser.	Eu tenho uma pergunta para perguntar a você.
Tom me comprenait.	Tom me entendeu.
Essayons !	Vamos tentar!
Ne nous laissons pas dévier à ce point !	Não nos deixe desviar este ponto!
C'est innovant.	É inovador.
Je n'ai pas vu Tom depuis des mois.	Eu não vi Tom há meses.
Je ne pouvais m'empêcher de rire.	Eu não pude deixar de rir.
Un écureuil se cachait parmi les branches.	Um esquilo escondeu entre os galhos.
Combien de paquets de cigarettes fumez-vous par jour ?	Quantos pacotes de cigarros estão fumando por dia?
Quand es-tu devenu enseignante ?	Quando você se tornou professor?
Nous avons eu une longue journée.	Nós tivemos um longo dia.
Il essaya en vain d'ouvrir cette porte verrouillée.	Ele tentou em vão abrir essa porta trancada.
Je déteste être ici.	Eu odeio estar aqui.
Je n'ai jamais dit que je voulais cela.	Eu nunca disse que queria isso.
Sens cette fleur.	Significando esta flor.
Cela guérira.	Isso vai curar.
Il vérifie son téléphone portable.	Ele verifica seu celular.
Tout a disparu.	Tudo desapareceu.
Vous pouvez inviter d'autres personnes.	Você pode convidar outras pessoas.
Depuis qu'il est arrivé, tout a changé.	Desde que ele chegou, tudo mudou.
Les candidatures sont dues pour lundi.	As inscrições são devidas para segunda-feira.
La vérité vous libérera.	A verdade libertará você.
Tu as mal quand tu fais ça ?	Você tem errado quando faz isso?
Elles pourraient peut-être être plus grandes que toi.	Eles podem ser maiores que você.
Je veux aller pêcher.	Eu quero ir pescar.
Je t'appellerai lorsque j'arriverai là-bas.	Eu ligarei para você quando eu chegar lá.
J'ai rêvé de Tom, cette nuit.	Eu sonhei com Tom, esta noite.
Je vous souhaite le bonjour !	Desejo-lhe olá!
Je ne me suis pas disputé.	Eu não joguei.
Je l'ai appelé.	Eu o chamei.
